12/03/2020 11:01,1.23806E+18,"Can't we just go back in time where everything was ok ?

#sad","cannot we just go back in time where everything was ok ?

#sad
",sad
12/03/2020 09:33,1.23804E+18,What's the rush?Why do we rush about with no time to spare?Does over-working&amp;doing too much make us appear more productive?Is it virtuous or insane?Once we burn out #depression forces us to stop. By resting we take responsibility for recovery. Rest is vital self-care. #depressed,"what has / what is the rush?why do we rush about with no time to spare?does over-working&amp;doing too much make us appear more productive?is it virtuous or insane?once we burn out #depression forces us to stop. by resting we take responsibility for recovery. rest is vital self-care. #depressed
",sad
12/03/2020 09:32,1.23804E+18,"Instead of trying Anti-depressives, TRY BANANA'S! 
They are faar better nd work well against depression.
(Self experienced)

Well, u may not have sugar free bananas 😂

#depression","instead of trying anti-depressives, try banana's! 
they are far better nd work well against depression.
(self experienced)

well, u may not have sugar free bananas 😂

#depression
",sad
12/03/2020 09:29,1.23803E+18,It’s hard not being able to talk to my baby in all day!! #sad,"it’s hard not being able to talk to my baby in all day!! #sad
",sad
12/03/2020 09:03,1.23803E+18,Log movies or web series dakh rhy Han or ma khd ke zindage Barbaad hotee dakh rhe hun #sad😔,"log movies or web series dash rhy han or ma kid he windage barmaid hotel dash rhe hun #sad😔
",sad
12/03/2020 08:29,1.23802E+18,"I cannot stress what enforced solitude does for those of us who already struggle with remembering that there’s a world out there that gives a shit about us. #Depression is hell, #quarantine does not help.","i cannot stress what enforced solitude does for those of us who already struggle with remembering that there’s a world out there that gives a shit about us. #depression is hell, #quarantine does not help.
",sad
12/03/2020 07:52,1.23801E+18,"Usually I'm quite capable of poking fun at my #depression, if only to make others laugh, but sometimes it's just far too much, and I end up curled up on the couch watching random stuff on YouTube while thinking just how much of a disappointment/burden I am to those in my life 😔","usually I am quite capable of poking fun at my #depression, if only to make others laugh, but sometimes it is just far too much, and i end up curled up on the couch watching random stuff on couture while thinking just how much of a disappointment/burden i am to those in my life 😔
",sad
12/03/2020 07:49,1.23801E+18,"Joke's on COVID-19. I've been self-isolating for years! #depression #anxiety

😩","joke's on covid-19. i've been self-isolating for years! #depression #anxiety

😩
",sad
12/03/2020 07:32,1.238E+18,So Trump is blaming Europe for his incompetence and lack of crisis management skills. #SAD,"so trump is blaming europe for his incompetence and lack of crisis management skills. #sad
",sad
12/03/2020 07:22,1.238E+18,"This fear mongering is really working, I don’t even think I can go home. #sad :(","this fear mongering is really working, i don’t even think i can go home. #sad :(
",sad
12/03/2020 07:21,1.238E+18,"#SAD I must admit, though I voted for Bernie I feel very sad for Biden. They limit his speaking and keep him out of public speaking as much as possible. I am sad because of his diminished capacity. Disorientation to time, place, disorganized memory recall.  A serious problem.../","#sad i must admit, though i voted for berne i feel very sad for bien. they limit his speaking and keep him out of public speaking as much as possible. i am sad because of his diminished capacity. disorientation to time, place, disorganized memory recall.  a serious problem../
",sad
12/03/2020 07:18,1.238E+18,"#SAD I must admit, though I voted for Bernie I feel very sad for Biden. They limit his speaking and keep him out of public speaking as much as possible. I am sad because of his diminished capacity. Disorientation to time, place, disorganized memory recall.  A serious problem..,","#sad i must admit, though i voted for berne i feel very sad for bien. they limit his speaking and keep him out of public speaking as much as possible. i am sad because of his diminished capacity. disorientation to time, place, disorganized memory recall.  a serious problem..,
",sad
12/03/2020 07:18,1.238E+18,"#SAD I must admit, though I voted for Bernie I feel very sad for Biden. They limit his speaking and keep him out of public speaking as much as possible. I am sad because of his diminished capacity. Disorientation to time, place, disorganized memory recall.  A serious problem..","#sad i must admit, though i voted for berne i feel very sad for bien. they limit his speaking and keep him out of public speaking as much as possible. i am sad because of his diminished capacity. disorientation to time, place, disorganized memory recall.  a serious problem..
",sad
12/03/2020 07:06,1.238E+18,can someone please talk to me i need some cheering up rn i’m #sad,"can someone please talk to me i need some cheering up rn i’m #sad
",sad
12/03/2020 07:00,1.238E+18,Nigeria is gradually stripping us of any form of humanity in US..... #sad,"nigeria is gradually stripping us of any form of humanity in us.. #sad
",sad
12/03/2020 06:57,1.238E+18,Is porn to the point of someone’s detriment really so important to people they can’t even laugh at a sex joke? #sad,"is porn to the point of someone’s detriment really so important to people they can’t even laugh at a sex joke? #sad
",sad
12/03/2020 06:36,1.23799E+18,this is how to show a loved one you care: Have you talked to anyone about how you feel? #mentalhealth #depression,"this is how to show a loved one you care: have you talked to anyone about how you feel? #mentalhealth #depression
",sad
12/03/2020 06:25,1.23799E+18,I’m here to expose ALL of the fake and scamming pieces of SCUM. Calling themselves “real”. Pathetic. DO NOT WASTE MY TIME. #sad #realsugardaddy,"i’m here to expose all of the fake and scamming pieces of scum. calling themselves “real”. pathetic. do not waste my time. #sad #realsugardaddy
",sad
12/03/2020 06:20,1.23799E+18,"Is this the end of us...?
Or just the means to...start again...

#sad 
#night","is this the end of us..?
or just the means to..start again..

#sad 
#night
",sad
12/03/2020 05:58,1.23798E+18,"Ot will be nice to forget to keep it inside sometimes

#Sad","ot will be nice to forget to keep it inside sometimes

#sad
",sad
12/03/2020 05:49,1.23798E+18,I’ve been canceling events and socially distancing since before all this tshh #depression #aaaaaaaah,"i’ve been canceling events and socially distancing since before all this tsh #depression #aah
",sad
12/03/2020 05:25,1.23797E+18,Forever wishing I naturally had 20/20 vision. #sad #ThanksGramma,"forever wishing i naturally had 20/20 vision. #sad #thanksgramma
",sad
12/03/2020 05:24,1.23797E+18,Finished on my block... devastated then I find out my guy Tom has coronavirus #sad,"finished on my block.. devastated then i find out my guy tom has coronavirus #sad
",sad
12/03/2020 05:02,1.23797E+18,Doctors don’t listen they just give you pills and then just send you on the way 😭#depression,"doctors don’t listen they just give you pills and then just send you on the way 😭#depression
",sad
12/03/2020 04:51,1.23796E+18,Upset about NBA being suspended but haven’t checked on one friend or relative over 60 #Sad,"upset about na being suspended but haven’t checked on one friend or relative over 60 #sad
",sad
12/03/2020 04:48,1.23796E+18,Going to have to watch the decade of excellence the whole month of March!! #sad #CollegeBasketball,"going to have to watch the decade of excellence the whole month of march!! #sad #collegebasketball
",sad
12/03/2020 04:37,1.23796E+18,#depression is crying in your parents kitchen at 4:30am because your life has fallen apart and you cant even turn to the person you love because they're the wrong choice....,"#depression is crying in your parents kitchen at 4:30am because your life has fallen apart and you cant even turn to the person you love because they are the wrong choice..
",sad
12/03/2020 04:31,1.23796E+18,"Tom Hanks got the corona virus. 
First post in a while since I forgot my Twitter password but suddenly remembered it. Anyways...#sad","tom hanks got the corona virus. 
first post in a while since i forgot my twitter password but suddenly remembered it. anyways..#sad
",sad
12/03/2020 04:31,1.23796E+18,I bet grassroots tournament directors don’t stop having fans.... 🤔 if the NCAA is doing it and NBA. What’s excluding HS &amp; AAU? Get ready folks the train is coming downhill..... #FACTS #SAD,"i bet grassroots tournament directors don’t stop having fans.. 🤔 if the naa is doing it and na. what’s excluding hs &amp; au? get ready folks the train is coming downhill.. #facts #sad
",sad
12/03/2020 04:23,1.23796E+18,I just want a long ass..... A long ass relationship 💯 #sad,"i just want a long ass.. a long ass relationship 💯 #sad
",sad
12/03/2020 04:23,1.23796E+18,"Imagine handling everything on your own, while the one who’s supposed to be supporting you would rather prep her meals than preparing for your parents. #sad","imagine handling everything on your own, while the one who’s supposed to be supporting you would rather prep her meals than preparing for your parents. #sad
",sad
12/03/2020 04:20,1.23796E+18,"5/n The Nigeria immigration, custom, and health institutions are not left out of this. Each day personnel from these institutions inhumanely treat and exploit the people like their lives, opinions or dreams don't matter #Sad this is not supposed to be.","5/n the nigeria immigration, custom, and health institutions are not left out of this. each day personnel from these institutions inhumanely treat and exploit the people like their lives, opinions or dreams do not matter #sad this is not supposed to be.
",sad
12/03/2020 04:19,1.23796E+18,today when i wished to just go home tmrw...i didn’t think my wish would actually come true so hi i’m senti this is #sad #byeabroad,"today when i wished to just go home turn..i didn’t think my wish would actually come true so hi i’m senti this is #sad #byeabroad
",sad
12/03/2020 04:06,1.23795E+18,I can’t believe I just scheduled for senior year ha ha ha #hi #depression,"i can’t believe i just scheduled for senior year ha ha ha #hi #depression
",sad
12/03/2020 04:00,1.23795E+18,I'm currently feeling #Sad.,"I am currently feeling #sad.
",sad
12/03/2020 03:52,1.23795E+18,why do all my friends live in like a different planet these mfs call whenever im busy and its #sad,"why do all my friends live in like a different planet these ms call whenever im busy and its #sad
",sad
12/03/2020 03:48,1.23795E+18,more like march #sadness,"more like march #sadness
",sad
12/03/2020 03:41,1.23795E+18,Pretending like you're ok when you aren't is the hardest thing to do and I suck at it because if you read what I've written it's very obvious I'm not ok. #littlespace #sad,"pretending like you are ok when you are not is the hardest thing to do and i suck at it because if you read what i've written it is very obvious I am not ok. #littlespace #sad
",sad
12/03/2020 03:39,1.23795E+18,Today my census taker learned that Guam is apart of the US... #Sad and you're welcome Ms.,"today my census taker learned that guam is apart of the us.. #sad and you are welcome ms.
",sad
12/03/2020 03:38,1.23795E+18,#depression accelelate your life and fight for your feeling,"#depression accelerate your life and fight for your feeling
",sad
12/03/2020 03:37,1.23795E+18,this is how to show a loved one you care: Did something happen to make you start feeling this way? #mentalhealth #depression,"this is how to show a loved one you care: did something happen to make you start feeling this way? #mentalhealth #depression
",sad
12/03/2020 03:36,1.23795E+18,so i’m sitting ina solo lobby cuz warzone only 3 players :/ #sad,"so i’m sitting in solo lobby cuz carvone only 3 players :/ #sad
",sad
12/03/2020 03:30,1.23794E+18,Just a week ago I was able to eat three cheese burgers a large fry chicken nuggets and a shamrock shake and now I ate a value fry and 1/2 cheeseburger &amp; im full #depression,"just a week ago i was able to eat three cheese burgers a large fry chicken nuggets and a shamrock shake and now i ate a value fry and 1/2 cheeseburger &amp; im full #depression
",sad
12/03/2020 03:28,1.23794E+18,WELL THEN. life comes at you fast. #SAD,"well then. life comes at you fast. #sad
",sad
12/03/2020 03:17,1.23794E+18,Everyone out here bitching about sports getting cancelled and all I want is the airlines to stay open so I can go say by to my dying mother. #sadness,"everyone out here bitching about sports getting cancelled and all i want is the airlines to stay open so i can go say by to my dying mother. #sadness
",sad
12/03/2020 03:13,1.23794E+18,I'm just tired #depression,"I am just tired #depression
",sad
12/03/2020 03:13,1.23794E+18,Why is everything in my life going great. But I still don’t wanna be here. #depression #sadness,"why is everything in my life going great. but i still don’t wanna be here. #depression #sadness
",sad
12/03/2020 03:10,1.23794E+18,okay they cancelled our games. This has gone too far 🥺 #sad,"okay they cancelled our games. this has gone too far 🥺 #sad
",sad
12/03/2020 03:07,1.23794E+18,Wtf# my job just went in the toilet along with the economy #depression talk next,"wtv# my job just went in the toilet along with the economy #depression talk next
",sad
12/03/2020 03:04,1.23794E+18,COVID-19 is about to take my sugar daddy away #sadness,"covid-19 is about to take my sugar daddy away #sadness
",sad
12/03/2020 03:03,1.23794E+18,Tonight I saw a 73-year-old man deliver an address as if he were a hostage reading a statement written by his captors. And then I saw him act like a 5-year-old once he *thought* the broadcast was over. Apologies to the actual 5-year-olds out there. You’re better than that. #Sad,"tonight i saw a 73-year-old man deliver an address as if he were a hostage reading a statement written by his captors. and then i saw him act like a 5-year-old once he *thought* the broadcast was over. apologies to the actual 5-year-olds out there. you’re better than that. #sad
",sad
12/03/2020 03:00,1.23794E+18,People really dont know how to #WashYourHands ? #sad,"people really dont know how to #washyourhands ? #sad
",sad
12/03/2020 02:48,1.23793E+18,Niggas really be faking their personality to fuck. #SAD,"nights really be faking their personality to fuck. #sad
",sad
12/03/2020 02:39,1.23793E+18,Spring break plans are cancelled #sad,"spring break plans are cancelled #sad
",sad
12/03/2020 02:27,1.23793E+18,Can't sleep.  Just staying up late in bed thinking about offing myself.  Good times.  #depression,"cannot sleep.  just staying up late in bed thinking about offing myself.  good times.  #depression
",sad
12/03/2020 02:13,1.23792E+18,Of course the NBA gets suspended the game before Nurk comes back #ripcity #sad,"of course the na gets suspended the game before nur comes back #rapacity #sad
",sad
12/03/2020 02:05,1.23792E+18,"If you have friends or family members with #depression or other mental health issues, please reach out to them. Global pandemic is a reality that can add an extra layer of hardship for us right now. Extra love and caring can really help.","if you have friends or family members with #depression or other mental health issues, please reach out to them. global pandemic is a reality that can add an extra layer of hardship for us right now. extra love and caring can really help.
",sad
12/03/2020 02:04,1.23792E+18,i wish community colleges were shutting down from the corona virus #sad,"i wish community colleges were shutting down from the corona virus #sad
",sad
12/03/2020 02:03,1.23792E+18,Tom Hanks has corona virus :( #sad #worried,"tom hanks has corona virus :( #sad #worried
",sad
12/03/2020 01:59,1.23792E+18,"#TrumpAddress This is the most he's READ in years! It was painful to try to listen. I'll wait for the recap.
#Sad","#trumpaddress this is the most he has read in years! it was painful to try to listen. i'll wait for the recap.
#sad
",sad
12/03/2020 01:52,1.23792E+18,"Wait so is the anime body pillow I ordered, that’s currently chilling in China, won’t be delivered anytime soon? #coronavirus #sad","wait so is the anime body pillow i ordered, that’s currently chilling in china, won’t be delivered anytime soon? #coronavirus #sad
",sad
12/03/2020 01:41,1.23792E+18,Fuck no March Madness is coming up #Sad,"fuck no march madness is coming up #sad
",sad
12/03/2020 01:41,1.23792E+18,BASKETBALL IS CANCELLED #SAD,"basketball is cancelled #sad
",sad
12/03/2020 01:40,1.23792E+18,"Fellow sufferers of #depression and/or #bipolardisorder  is there ever an activity that is so WHOLESOME it makes you cry/want to cry? For me it's playing ball with my dog (who is my living, breathing front line treatment for depression).","fellow sufferers of #depression and/or #bipolardisorder  is there ever an activity that is so wholesome it makes you cry/want to cry? for me it is playing ball with my dog (who is my living, breathing front line treatment for depression).
",sad
12/03/2020 01:39,1.23792E+18,Miss you tube y’all #sad,"miss you tube y’all #sad
",sad
12/03/2020 01:39,1.23792E+18,#sad and #stressed but can’t wait to be home with my family in a few days ❤️,"#sad and #stressed but can’t wait to be home with my family in a few days ❤️
",sad
12/03/2020 01:38,1.23792E+18,"That official statement from the Oval Office got me closing my eyes, dreaming of Obama's soothing voice comforting his fellow Americans #SAD","that official statement from the oval office got me closing my eyes, dreaming of drama's soothing voice comforting his fellow americans #sad
",sad
12/03/2020 01:34,1.23791E+18,"I miss BLANC7 music on Apple Music :)  
Imma stream it illegally¿ on SoundCloud #sad","i miss blanc7 music on apple music :)  
amma stream it illegally¿ on soundcloud #sad
",sad
12/03/2020 01:30,1.23791E+18,Tom Hanks con coronavirus #sad,"tom hanks con coronavirus #sad
",sad
12/03/2020 01:14,1.23791E+18,The problem with everything he says about coming together as a nation/putting politics aside is that his daily acts/tweets does those very things. #SAD #Actionnotwords,"the problem with everything he says about coming together as a nation/putting politics aside is that his daily acts/tweets does those very things. #sad #actionnotwords
",sad
12/03/2020 01:11,1.23791E+18,The Dotard in Chief sounds like a third grader reading his “ what I did on my summer vacation” essay. #SAD,"the dotard in chief sounds like a third grader reading his “ what i did on my summer vacation” essay. #sad
",sad
12/03/2020 01:11,1.23791E+18,"I spent the whole day in bed, most of it sleeping. I was totally avoiding work. I find my job to be very stressful. Well, my boss knows it was because of stress and not that I was actually sick. I feel tons of shame. #SickNotWeak #depression","i spent the whole day in bed, most of it sleeping. i was totally avoiding work. i find my job to be very stressful. well, my boss knows it was because of stress and not that i was actually sick. i feel tons of shame. #sicknotweak #depression
",sad
12/03/2020 01:11,1.23791E+18,Feel bad for Vince Carter. His final season may end playing in an arena with no fans.  #sad #nba,"feel bad for since carter. his final season may end playing in an arena with no fans.  #sad #na
",sad
12/03/2020 01:10,1.23791E+18,What a shame my MIL died because now Ed McEneaney cant try and collect free money by pretending to care for a corona virus sufferer! #SAD,"what a shame my mil died because now ed mceneaney cant try and collect free money by pretending to care for a corona virus sufferer! #sad
",sad
12/03/2020 01:10,1.23791E+18,"Is it just me, or does Trump's speech sound like a hostage statement? What a complete disaster. #Sad #CoronaVirus","is it just me, or does trump's speech sound like a hostage statement? what a complete disaster. #sad #coronavirus
",sad
12/03/2020 01:07,1.23791E+18,"Trump really looks like shit. 

No way he’ll debate anyone. 

#Sad","trump really looks like shit. 

no way he’ll debate anyone. 

#sad
",sad
12/03/2020 01:05,1.23791E+18,I hate when you think someone is great and then they add you on Facebook and you see how racist and small minded they are.  #Sad #TruthHurts,"i hate when you think someone is great and then they add you on datebook and you see how racist and small minded they are.  #sad #truthhurts
",sad
12/03/2020 01:03,1.23791E+18,"hi everyone! i don’t on here much because #depression got the best of me, but i’m doing better! i have a good day today! HAVE A GREAT NIGHT","hi everyone! i don’t on here much because #depression got the best of me, but i’m doing better! i have a good day today! have a great night
",sad
12/03/2020 01:00,1.23791E+18,#Survivor was the only TV that I looked forward to during the week. #Sad,"#survivor was the only tv that i looked forward to during the week. #sad
",sad
12/03/2020 01:00,1.23791E+18,"Good News! Not only is  Mike Pence in charge of the coronavirus govt team, now Son- in-law Jared Kushner is  advising tRump on it. Oh Boy...Are we in good hands! No worries Folks! Forget medical professionals, We the People now have tRump yes-boys leading the team.
#SAD🇺🇸
#RESIST","good news! not only is  mike pence in charge of the coronavirus govt team, now son- in-law dared mushier is  advising trump on it. oh boy..are we in good hands! no worries folks! forget medical professionals, we the people now have trump yes-boys leading the team.
#sad🇺🇸
#resist
",sad
12/03/2020 00:49,1.2379E+18,rudy going out #sad rn,"rude going out #sad rn
",sad
12/03/2020 00:48,1.2379E+18,"This week has been a miserable week for my depression but progress is being made.
Monday I didn’t get out of bed and didn’t eat or shower or anything. 
Tuesday I made myself eat something and shower.
Today I went out and bought garbage bags. 
#MentalHealthAwareness #depression","this week has been a miserable week for my depression but progress is being made.
monday i didn’t get out of bed and didn’t eat or shower or anything. 
tuesday i made myself eat something and shower.
today i went out and bought garbage bags. 
#mentalhealthawareness #depression
",sad
12/03/2020 00:42,1.2379E+18,If Denver Comic Con gets canceled imma be #sad,"if denver comic con gets canceled amma be #sad
",sad
12/03/2020 00:39,1.2379E+18,I wanna take this game thing to the next level because college just fucked me ..... so I’m about to go so hard all I wanna do is succeed.... #depression,"i wanna take this game thing to the next level because college just fucked me .. so i’m about to go so hard all i wanna do is succeed.. #depression
",sad
12/03/2020 00:37,1.2379E+18,"this could be how you start a conversation with a loved one about depression: Recently, I've noticed some changes in you and wanted to see if you were doing alright #mentalhealth #depression","this could be how you start a conversation with a loved one about depression: recently, i've noticed some changes in you and wanted to see if you were doing alright #mentalhealth #depression
",sad
12/03/2020 00:31,1.2379E+18,"Just think of a NATIONAL CHAMPIONSHIP GAME with NO fans, only family😭 #Sad","just think of a national championship game with no fans, only family😭 #sad
",sad
12/03/2020 00:30,1.2379E+18,"Due to spraining my foot, you read that right, one of my powerful coping skills was taken away — walking. I’m slipping into a depressive episode, and the two combined resulted in lots of sleep. I am fighting it best I can. Started writing again. #NeverGiveUp #depression","due to spraining my foot, you read that right, one of my powerful coping skills was taken away — walking. i’m slipping into a depressive episode, and the two combined resulted in lots of sleep. i am fighting it best i can. started writing again. #nevergiveup #depression
",sad
12/03/2020 00:25,1.2379E+18,The Coronavirus is making everyone SO soft. #sad,"the coronavirus is making everyone so soft. #sad
",sad
12/03/2020 00:21,1.2379E+18,"I expect Trump to tout job numbers tonight
#Sad","i expect trump to tout job numbers tonight
#sad
",sad
12/03/2020 00:16,1.2379E+18,"Well.. hopefully other schools cancel visits as well, otherwise Ohio State recruiting is going to take a massive blow #Sad","well.. hopefully other schools cancel visits as well, otherwise ohio state recruiting is going to take a massive blow #sad
",sad
12/03/2020 00:14,1.23789E+18,Got medicine for depression and anxiety #depression #Anxiety,"got medicine for depression and anxiety #depression #anxiety
",sad
12/03/2020 00:13,1.23789E+18,March MADness has a new meaning.  WOW...thanks stupid liberal nuts!  This is not right...I wish everyone could see through them.  Shame for making this horrible virus into politics.  I caught that CNN said now 10% may get it.  It WAS 35%.  You said it anohter way...liars. #Sad,"march madness has a new meaning.  wow..thanks stupid liberal nuts!  this is not right..i wish everyone could see through them.  shame for making this horrible virus into politics.  i caught that can said now 10% may get it.  it was 35%.  you said it another way..liars. #sad
",sad
12/03/2020 00:04,1.23789E+18,Welp looks like we won't have recruiting to talk about for the next month. #SAD,"well looks like we will not have recruiting to talk about for the next month. #sad
",sad
11/03/2020 23:54,1.23789E+18,Some of the media sources across the country need to delete their accounts. They make up about 9 different accounts talk to themselves on Twitter about the same players never ever seen them play.  But most importantly have never played basketball.  Only in girls basketball.  #Sad,"some of the media sources across the country need to delete their accounts. they make up about 9 different accounts talk to themselves on twitter about the same players never ever seen them play.  but most importantly have never played basketball.  only in girls basketball.  #sad
",sad
11/03/2020 23:46,1.23789E+18,Today I will skip all meals bc I am a #skinnylegend and I am #sad,"today i will skip all meals bc i am a #skinnylegend and i am #sad
",sad
11/03/2020 23:42,1.23789E+18,I'm #sad well fought Liverpool just wasn't meant to be this year. Time to wrap up the league,"I am #sad well fought liverpool just was not meant to be this year. time to wrap up the league
",sad
11/03/2020 23:42,1.23789E+18,All i want to do is close my eyes and sleep. #Depression,"all i want to do is close my eyes and sleep. #depression
",sad
11/03/2020 23:39,1.23789E+18,i lost my airpods today and i am #sad,"i lost my bipods today and i am #sad
",sad
11/03/2020 23:36,1.23789E+18,"You know that thing where your right tonsil develops sharp corners, and sometimes when you swallow it feels like you're being stabbed in the throat with a shard of glass? No? No? Nobody? It's just me? #sad","you know that thing where your right tonsil develops sharp corners, and sometimes when you swallow it feels like you are being stabbed in the throat with a shard of glass? no? no? nobody? it is just me? #sad
",sad
11/03/2020 23:29,1.23788E+18,"Welp, guess I won’t be seeing Tame Impala on Friday #SAD","well, guess i won’t be seeing tame impala on friday #sad
",sad
11/03/2020 23:13,1.23788E+18,"Gonna toss this out into the void...
Any expats out there who really struggle/feel trapped? 
Talk to me. 😞
#expatlife #depression","gonna toss this out into the void..
any expats out there who really struggle/feel trapped? 
talk to me. 😞
#expatlife #depression
",sad
11/03/2020 23:13,1.23788E+18,"Too sad to live, too poor to die. #depression","too sad to live, too poor to die. #depression
",sad
11/03/2020 23:09,1.23788E+18,"I'm in the hell of mental illness🆘
#depression #MentalHealthMatters","I am in the hell of mental illness🆘
#depression #mentalhealthmatters
",sad
11/03/2020 23:04,1.23788E+18,Breaking: I just found out there’s an NBA team called the Pelicans. #sadness,"breaking: i just found out there’s an na team called the pelicans. #sadness
",sad
11/03/2020 23:02,1.23788E+18,"And coronavirus or covid-19 shuts down the Houston Rodeo. So many devastated teens, kids who will not show their animals, vie for $$millions in scholarships. #Sad #Concerned","and coronavirus or covid-19 shuts down the houston rodeo. so many devastated teens, kids who will not show their animals, vie for $$millions in scholarships. #sad #concerned
",sad
11/03/2020 22:56,1.23788E+18,Poor Liverpool fans... they’re only gg to win the league this year 😭 #sad #dissapointed,"poor liverpool fans.. they’re only go to win the league this year 😭 #sad #disappointed
",sad
11/03/2020 22:44,1.23787E+18,"#depression isn’t limited to moments of quiet solitude. It can happen in turbulent times. It can rear its ugly head as we do things we love, even while we’re surrounded by people who love and support us.
Yes, it can strike in the middle of fixing dinner.","#depression isn’t limited to moments of quiet solitude. it can happen in turbulent times. it can rear its ugly head as we do things we love, even while we’re surrounded by people who love and support us.
yes, it can strike in the middle of fixing dinner.
",sad
11/03/2020 22:41,1.23787E+18,"Overheard in the grocery aisle
Lady: “ooh, do they have those Pop-Tarts without frosting?”
Friend: “wait, what? Without frosting? They MAKE those?”
Lady: “YES, and see, they don’t have any!”
Friend: “those just sound sad.”#sad #whereisthefrosting","overheard in the grocery aisle
lady: “ooh, do they have those pop-tarts without frosting?”
friend: “wait, what? without frosting? they make those?”
lady: “yes, and see, they don’t have any!”
friend: “those just sound sad.”#sad #whereisthefrosting
",sad
11/03/2020 22:36,1.23787E+18,apologies for the football tweets but my club has just been knocked out of the champions league and i am #sad,"apologies for the football tweets but my club has just been knocked out of the champions league and i am #sad
",sad
11/03/2020 22:33,1.23787E+18,that line in white knight is so genius im lit rally the human embodiment of it so #sad that it even makes me laugh,"that line in white knight is so genius im lit rally the human embodiment of it so #sad that it even makes me laugh
",sad
11/03/2020 22:31,1.23787E+18,"Liverpool At The Moment
#sad","liverpool at the moment
#sad
",sad
11/03/2020 22:28,1.23787E+18,"#Dreadful is how I have become. No words can define my #depression. “Gloom of my doom”, is a new title for me.","#dreadful is how i have become. no words can define my #depression. “gloom of my doom”, is a new title for me.
",sad
11/03/2020 22:25,1.23787E+18,I need more local friends ☹️😔 #lonely #sad,"i need more local friends ☹️😔 #lonely #sad
",sad
11/03/2020 22:24,1.23787E+18,watching unicorn store bc im #sad,"watching unicorn store bc im #sad
",sad
11/03/2020 22:15,1.23786E+18,"Juventus FC have announced that defender Daniel Rugani has tested positive for Corona Virus.
#sad.
I hope he recovers.
I wonder how many more footballers have been infected at the moment.","jumentous fc have announced that defender daniel regain has tested positive for corona virus.
#sad.
i hope he recovers.
i wonder how many more footballers have been infected at the moment.
",sad
11/03/2020 22:13,1.23786E+18,"Liverpool greatest bottlers in football #sad
#LIVATM","liverpool greatest bottlers in football #sad
#vivat
",sad
11/03/2020 22:10,1.23786E+18,this whole corona virus has me #sad,"this whole corona virus has me #sad
",sad
11/03/2020 22:06,1.23786E+18,Well don’t bet on underdogs in the dance crowd plays a big role in upsets #sad #ncaa,"well don’t bet on underdogs in the dance crowd plays a big role in upsets #sad #naa
",sad
11/03/2020 21:56,1.23786E+18,Almost 60 yrs old and your whole life revolves around your 26 yr old daughter #sad,"almost 60 yrs old and your whole life revolves around your 26 yr old daughter #sad
",sad
